Order_ID,Date,PaymentMethod_ID,Amount,Failed_Flag
1,2021-09-05,1,27.16,0
2,2020-12-17,2,356.02,0
3,2019-07-18,1,62.51,0
4,2021-02-01,1,794.99,0
5,2020-12-31,2,482.19,0
6,2021-02-12,1,146.4,0
7,2019-10-02,2,941.94,0
8,2021-12-06,2,622.38,0
9,2022-01-21,1,435.01,0
10,2019-04-09,2,155.84,0
11,2019-04-24,2,682.6,0
12,2022-12-05,3,90.46,0
13,2022-04-30,2,270.34,0
14,2021-06-15,1,450.46,0
15,2020-03-22,1,155.88,0
16,2020-03-10,1,985.76,0
17,2019-12-16,1,289.05,0
18,2021-02-15,2,894.34,0
19,2019-06-29,1,648.53,0
20,2023-09-29,1,460.25,0
21,2023-02-04,1,263.32,1
22,2020-06-10,3,912.57,0
23,2019-05-09,1,810.8,0
24,2020-10-21,2,812.29,0
25,2020-03-15,1,924.98,0
26,2020-01-22,1,866.94,0
27,2023-12-03,1,439.98,0
28,2019-12-11,2,13.17,0
29,2020-09-10,1,694.23,0
30,2019-01-04,2,290.82,1
31,2019-12-04,2,860.45,0
32,2019-12-18,2,704.24,0
33,2019-03-08,2,279.56,0
34,2021-04-12,2,441.14,0
35,2020-12-02,1,22.45,0
36,2023-03-16,1,479.85,0
37,2022-07-11,2,216.31,0
38,2023-05-13,2,82.57,0
39,2020-01-28,1,515.07,0
40,2019-09-19,3,809.82,0
41,2022-06-13,3,179.68,0
42,2021-04-02,1,52.46,0
43,2022-07-14,1,907.49,0
44,2019-10-05,2,90.89,0
45,2020-03-04,1,434.4,0
46,2020-02-12,1,222.51,0
47,2020-04-05,2,171.44,0
48,2023-03-24,1,831.6,0
49,2022-01-18,1,775.43,0
50,2019-10-20,1,638.93,0
51,2021-12-28,2,323.24,0
52,2023-10-01,1,825.41,0
53,2023-03-20,1,36.47,0
54,2020-02-06,1,670.97,0
55,2023-09-08,1,52.83,0
56,2023-03-15,3,228.6,0
57,2019-12-08,2,241.77,0
58,2021-05-07,1,962.79,0
59,2020-01-31,1,112.81,0
60,2021-05-18,1,984.12,0
61,2022-03-28,2,241.08,0
62,2021-09-30,2,114.89,0
63,2023-08-19,1,148.33,0
64,2021-07-08,2,36.7,0
65,2021-02-11,2,678.13,0
66,2020-08-26,1,491.31,0
67,2019-09-21,1,440.66,0
68,2021-01-20,3,108.69,0
69,2020-02-25,1,775.34,0
70,2023-11-11,1,435.02,0
71,2021-12-24,1,188.53,0
72,2020-05-05,1,449.98,0
