Product_ID,Category,Brand,Cost,Price
1,Grocery,Brand_D,182.12,371.92
2,Toys,Brand_C,182.12,247.65
3,Home,Brand_D,182.12,428.94
4,Toys,Brand_C,182.12,337.65
5,Toys,Brand_B,182.12,324.93
6,Apparel,Brand_A,182.12,357.25
7,Home,Brand_B,182.12,366.47
8,Home,Brand_A,182.12,235.54
9,Home,Brand_A,182.12,380.16
10,Toys,Brand_A,182.12,275.82
11,Grocery,Brand_B,182.12,387.58
12,Home,Brand_A,182.12,413.28
13,Toys,Brand_B,182.12,408.89
14,Apparel,Brand_D,182.12,349.35
15,Grocery,Brand_C,182.12,341.7
16,Apparel,Brand_C,182.12,252.37
17,Grocery,Brand_A,182.12,402.11
18,Toys,Brand_B,182.12,282.8
19,Electronics,Brand_C,182.12,336.14
20,Grocery,Brand_B,182.12,285.85
21,Apparel,Brand_B,182.12,250.23
22,Toys,Brand_A,182.12,367.6
23,Grocery,Brand_C,182.12,231.41
24,Electronics,Brand_A,182.12,395.79
25,Electronics,Brand_A,182.12,293.73
26,Home,Brand_C,182.12,218.58
27,Home,Brand_C,182.12,339.56
28,Apparel,Brand_D,182.12,229.64
29,Grocery,Brand_D,182.12,283.93
30,Grocery,Brand_B,182.12,385.92
31,Home,Brand_C,182.12,233.39
32,Grocery,Brand_D,182.12,417.26
33,Grocery,Brand_B,182.12,219.45
34,Electronics,Brand_B,182.12,276.98
35,Home,Brand_B,182.12,393.96
36,Toys,Brand_D,182.12,293.42
37,Home,Brand_C,182.12,242.67
38,Toys,Brand_A,182.12,303.83
39,Electronics,Brand_B,182.12,282.56
40,Apparel,Brand_D,182.12,418.06
41,Grocery,Brand_D,182.12,292.73
42,Electronics,Brand_A,182.12,405.33
43,Grocery,Brand_A,182.12,429.7
44,Apparel,Brand_D,182.12,321.25
45,Apparel,Brand_C,182.12,433.98
46,Electronics,Brand_A,182.12,307.88
47,Apparel,Brand_D,182.12,446.8
48,Toys,Brand_A,182.12,239.68
49,Apparel,Brand_C,182.12,381.2
50,Grocery,Brand_B,182.12,335.46
51,Grocery,Brand_A,182.12,310.32
52,Grocery,Brand_C,182.12,368.34
53,Grocery,Brand_D,182.12,385.19
54,Toys,Brand_A,182.12,219.58
55,Home,Brand_A,182.12,258.07
56,Electronics,Brand_D,182.12,387.36
57,Grocery,Brand_B,182.12,376.31
58,Apparel,Brand_D,182.12,447.26
59,Grocery,Brand_A,182.12,398.72
60,Apparel,Brand_D,182.12,443.65
61,Apparel,Brand_C,182.12,384.87
62,Grocery,Brand_D,182.12,289.11
63,Toys,Brand_A,182.12,243.49
64,Apparel,Brand_D,182.12,403.65
65,Apparel,Brand_B,182.12,371.05
66,Grocery,Brand_D,182.12,229.95
67,Apparel,Brand_B,182.12,303.79
68,Apparel,Brand_C,182.12,445.07
69,Grocery,Brand_B,182.12,337.02
70,Grocery,Brand_D,182.12,321.0
71,Electronics,Brand_A,182.12,326.91
72,Toys,Brand_B,182.12,268.0
73,Toys,Brand_C,182.12,305.84
74,Apparel,Brand_B,182.12,306.1
75,Toys,Brand_B,182.12,230.94
76,Apparel,Brand_B,182.12,400.27
77,Electronics,Brand_C,182.12,317.15
78,Grocery,Brand_D,182.12,413.2
79,Grocery,Brand_B,182.12,419.87
80,Grocery,Brand_B,182.12,268.73
81,Toys,Brand_A,182.12,374.18
82,Electronics,Brand_C,182.12,330.36
83,Toys,Brand_B,182.12,426.93
