Customer_ID,Segment,Region
1,Occasional,North
2,VIP,East
3,Occasional,East
4,VIP,West
5,Regular,West
6,Regular,West
7,Occasional,East
8,VIP,North
9,Occasional,West
10,Occasional,South
11,VIP,West
12,Occasional,East
13,Regular,West
14,New,North
15,New,West
16,Occasional,East
17,VIP,East
18,VIP,South
19,Regular,East
20,VIP,South
21,VIP,North
22,Regular,East
23,Occasional,West
24,New,North
25,Regular,West
26,Occasional,West
27,Regular,West
28,Occasional,North
29,Regular,North
30,Occasional,East
31,Regular,West
32,Occasional,South
33,Regular,East
34,New,North
35,New,South
36,VIP,North
37,Occasional,South
38,Regular,East
39,Occasional,South
40,New,East
41,Occasional,North
42,Regular,South
43,Occasional,West
44,Regular,West
45,New,North
46,New,South
47,New,West
48,VIP,East
49,New,South
50,Occasional,South
51,VIP,West
52,New,East
53,Occasional,East
54,Occasional,East
55,Occasional,South
56,Regular,North
57,VIP,South
58,Occasional,South
59,Regular,West
60,New,North
61,Occasional,East
62,Regular,West
63,Occasional,South
64,VIP,North
65,VIP,East
66,New,East
67,Occasional,South
68,Regular,East
69,New,East
70,Occasional,North
71,New,West
72,Regular,North
73,New,West
74,New,West
75,New,West
76,Occasional,East
77,Regular,North
78,VIP,East
79,Occasional,South
80,VIP,North
81,VIP,West
82,Occasional,East
83,Occasional,East
84,Regular,North
85,Regular,North
86,New,West
87,VIP,West
88,Regular,South
89,New,West
90,Regular,East
91,Occasional,South
92,Regular,South
93,VIP,South
94,Regular,North
95,VIP,West
96,Occasional,South
97,VIP,North
98,Regular,North
99,New,South
100,Occasional,South
101,Regular,East
102,Occasional,South
103,Occasional,East
104,Regular,South
105,Regular,South
106,New,West
107,Occasional,South
108,Occasional,South
109,Regular,East
110,VIP,East
111,Regular,West
112,Occasional,South
113,Regular,South
114,New,East
115,VIP,North
116,Regular,North
117,New,North
118,Occasional,East
119,Regular,East
120,Occasional,North
121,New,North
122,Occasional,South
123,New,East
124,New,East
125,New,North
126,Regular,North
127,Occasional,West
128,Occasional,East
129,VIP,West
130,VIP,South
131,VIP,West
132,VIP,North
133,Occasional,East
134,New,East
135,New,West
136,Regular,West
137,New,South
138,Occasional,South
139,Occasional,North
140,Occasional,North
141,Regular,North
142,VIP,West
143,New,West
144,Occasional,East
145,Occasional,North
146,VIP,West
147,Occasional,East
148,New,North
149,Regular,South
150,Occasional,South
151,New,West
152,Occasional,East
153,VIP,South
154,Occasional,East
155,Occasional,East
156,Regular,South
157,VIP,East
158,VIP,South
159,Regular,West
160,Occasional,North
161,New,North
162,VIP,West
163,VIP,South
164,Occasional,South
165,Occasional,South
166,VIP,South
167,Occasional,West
168,New,North
169,VIP,East
170,New,East
171,New,North
172,Occasional,West
173,New,East
174,Occasional,North
175,Regular,West
176,Occasional,East
177,New,South
178,Regular,South
179,Occasional,West
180,New,South
181,VIP,West
182,VIP,North
183,Occasional,North
184,Occasional,East
185,VIP,West
186,New,East
187,New,East
188,New,North
189,Occasional,East
190,Regular,South
191,Regular,East
192,Regular,West
193,Regular,South
194,Regular,North
195,Occasional,West
196,Occasional,South
197,Regular,West
198,Occasional,South
199,Occasional,West
200,Regular,West
201,New,South
202,Occasional,North
203,New,North
204,Occasional,West
205,Occasional,West
206,Regular,North
207,Occasional,North
208,VIP,East
209,VIP,North
210,Regular,West
211,New,South
212,New,North
213,New,East
214,VIP,East
215,New,East
216,New,South
217,Regular,North
218,New,North
219,VIP,North
220,VIP,South
221,VIP,South
222,Regular,West
223,Regular,East
224,Occasional,East
225,New,North
226,Regular,South
227,VIP,South
228,VIP,North
229,Regular,North
230,Regular,West
231,Regular,East
232,Occasional,East
233,VIP,East
234,Occasional,West
235,Occasional,North
236,New,North
237,VIP,East
238,VIP,East
239,Regular,West
240,Regular,South
241,New,South
242,Occasional,East
243,Regular,West
244,Regular,East
245,VIP,South
246,VIP,East
247,Regular,South
248,VIP,South
249,New,South
250,Regular,North
251,VIP,North
252,New,East
253,VIP,South
254,VIP,North
255,VIP,East
256,Regular,East
257,Occasional,East
258,VIP,East
259,New,East
260,Regular,West
261,Regular,South
262,New,East
263,VIP,West
264,Occasional,South
265,VIP,North
266,New,East
267,Regular,West
268,Occasional,North
269,Regular,West
270,New,South
271,VIP,South
272,Occasional,North
273,Regular,West
274,Regular,East
275,Regular,East
276,VIP,North
277,Occasional,North
278,VIP,North
279,VIP,West
280,VIP,East
281,New,East
282,New,East
283,New,North
284,Occasional,East
285,VIP,South
286,VIP,North
287,New,East
288,VIP,West
289,VIP,North
290,Regular,South
291,VIP,South
292,Regular,West
293,VIP,West
294,Occasional,North
295,New,North
296,Regular,South
297,New,West
298,Regular,North
299,Regular,South
300,Regular,West
301,Occasional,South
302,VIP,East
303,Regular,West
304,Occasional,North
305,Regular,North
306,VIP,East
307,Regular,West
308,Occasional,South
309,VIP,North
310,Occasional,East
311,VIP,East
312,VIP,West
313,New,West
314,New,North
315,New,East
316,VIP,South
317,Regular,East
318,Occasional,South
319,Occasional,South
320,Occasional,North
321,New,East
322,VIP,South
323,New,West
324,Regular,South
325,VIP,West
326,Occasional,West
327,New,East
328,New,West
329,Regular,South
330,Regular,West
331,New,East
332,Regular,North
333,Occasional,South
334,Regular,South
335,Regular,East
336,New,East
337,New,East
338,VIP,East
339,VIP,South
340,New,North
341,Regular,West
342,Regular,West
343,VIP,North
344,VIP,North
345,VIP,North
346,Occasional,East
347,Occasional,South
348,VIP,South
349,Regular,South
350,VIP,East
351,Occasional,South
352,Regular,East
353,Occasional,South
354,Regular,North
355,Occasional,West
356,Regular,West
357,Regular,East
358,Regular,South
359,Regular,West
360,New,North
361,Occasional,North
362,Occasional,North
363,New,East
364,Regular,East
365,Regular,South
366,Occasional,North
367,New,South
368,Regular,South
369,Regular,North
370,Regular,South
371,VIP,West
372,New,East
373,Regular,South
374,VIP,North
375,New,East
376,Regular,East
377,Occasional,South
378,VIP,West
379,VIP,South
380,Regular,West
381,Regular,East
382,VIP,South
383,Occasional,North
384,Occasional,South
385,New,West
386,Regular,West
387,Occasional,South
388,New,West
389,Occasional,East
390,Regular,South
391,New,West
392,New,South
393,New,South
394,Occasional,North
395,Regular,South
396,New,North
397,VIP,West
398,Regular,North
399,VIP,North
400,VIP,North
401,New,East
402,New,North
403,Occasional,South
404,Occasional,North
405,Occasional,South
406,Regular,North
407,Occasional,East
408,VIP,West
409,Occasional,North
410,New,North
411,Occasional,East
412,Regular,North
413,Regular,South
414,VIP,North
